Parameter,Value,Description
,,
=== basic: Constants ===,,
mu,8.600e-09,Mutation rate per bp per generation
Generation time,3,Years per generation
L,22488648,Callable sites
theta,10454.38,Population mutation rate (4*Nref*mu*L)
,,
=== Scaled Parameters (Coalescent Units) ===,,
nuS,0.1542,Silvestris branch after the split
nuL,3.4633,Lybica branch after the split
nuB,0.2006,Scottish wildcat from TB to the present
nuD,1.6585,Domestic cat from TD to the present
TA,5.9872,Split of silvestris and lybica (before present)
TB,0.0083,Wildcat size change / landbridge (before present)
TD,0.1307,Domestic size change / domestication (before present)
m_ls,0.3390,Early gene flow into silvestris from lybica (2*Nref*m)
m_sl,0.1399,Early gene flow into lybica from silvestris (2*Nref*m)
m2_ds,18.7571,Recent gene flow into wildcat from domestic (2*Nref*m)
m2_sd,6.0652,Recent gene flow into domestic from wildcat (2*Nref*m)
,,
=== Real-World Parameters ===,,
Nref,13514,Ancestral effective population size
N_nuS,2084,Silvestris branch after the split in individuals
N_nuL,46802,Lybica branch after the split in individuals
N_nuB,2711,Scottish wildcat from TB to the present in individuals
N_nuD,22413,Domestic cat from TD to the present in individuals
TA_generations,161820,"Split of silvestris and lybica (before present), in generations"
TA_years,485461,"Split of silvestris and lybica (before present), in years"
TB_generations,224,"Wildcat size change / landbridge (before present), in generations"
TB_years,673,"Wildcat size change / landbridge (before present), in years"
TD_generations,3533,"Domestic size change / domestication (before present), in generations"
TD_years,10599,"Domestic size change / domestication (before present), in years"
T_divergence_generations,161820,Total divergence time in generations (TA)
T_divergence_years,485461,Total divergence time in years (TA)
m_ls_per_gen,1.254355e-05,"Early gene flow into silvestris from lybica (2*Nref*m), per generation"
m_sl_per_gen,5.176900e-06,"Early gene flow into lybica from silvestris (2*Nref*m), per generation"
m2_ds_per_gen,6.939978e-04,"Recent gene flow into wildcat from domestic (2*Nref*m), per generation"
m2_sd_per_gen,2.244092e-04,"Recent gene flow into domestic from wildcat (2*Nref*m), per generation"
migrants_m_ls,0.026,Individuals per generation entering the receiving population (nuS * m_ls / 2)
migrants_m_sl,0.242,Individuals per generation entering the receiving population (nuL * m_sl / 2)
migrants_m2_ds,1.881,Individuals per generation entering the receiving population (nuB * m2_ds / 2)
migrants_m2_sd,5.030,Individuals per generation entering the receiving population (nuD * m2_sd / 2)
,,
=== Model Fit Statistics ===,,
Log-likelihood,-1411.14,Higher is better
Parameters (k),11,"Free parameters, excluding theta"
AIC,2846.29,"Lower is better - UNADJUSTED, not comparable across models"
Effective parameters,292.73,tr(J.H^-1); exceeds k+1 by however much linkage has inflated the composite likelihood
CLAIC,3407.74,-2*ll + 2*tr(J.H^-1). Lower is better. THIS is the comparable one
dCLAIC,34.07,CLAIC above the best model
Akaike weight,0.000,
Bootstraps,100,Block bootstrap replicates behind J
eps,0.01,Finite-difference step size used for the values above
"Stability check, eps = 0.01","eff. k 292.73, CLAIC 3407.74","H condition number 1.4e+15, smallest eigenvalue +6.33e-07. A large move in eff. k between step sizes means the finite differences are not converged; a negative eigenvalue means the fit is not at an interior maximum and the value is meaningless."
"Stability check, eps = 0.005","eff. k 293.29, CLAIC 3408.86","H condition number 1.1e+15, smallest eigenvalue -9.24e-01. A large move in eff. k between step sizes means the finite differences are not converged; a negative eigenvalue means the fit is not at an interior maximum and the value is meaningless."
,,
=== 95% Confidence Intervals ===,,
nuS_CI,0.06499 to 0.3661,"Godambe, log scale by the delta method"
nuL_CI,1.541 to 7.785,"Godambe, log scale by the delta method"
nuB_CI,0.1621 to 0.2482,"Godambe, log scale by the delta method"
nuD_CI,0.6409 to 4.292,"Godambe, log scale by the delta method"
TA_CI,2.299 to 15.59,"Godambe, log scale by the delta method"
TB_CI,0.007988 to 0.008631,"Godambe, log scale by the delta method"
TD_CI,0.0395 to 0.4326,"Godambe, log scale by the delta method"
m_ls_CI,0.1343 to 0.8555,"Godambe, log scale by the delta method"
m_sl_CI,0.06636 to 0.295,"Godambe, log scale by the delta method"
m2_ds_CI,18.03 to 19.51,"Godambe, log scale by the delta method"
m2_sd_CI,4.486 to 8.201,"Godambe, log scale by the delta method"
theta_CI,4753 to 2.299e+04,"Godambe, log scale by the delta method"
,,
=== Convergence ===,,
Top-10 spread,0.107,Log-likelihood gap between best and 10th-best restart
Converged?,yes,Above ~1 unit the optimiser has NOT converged
Restarts succeeded,50,Restarts returning a fit
Restarts attempted,50,Restarts run
Parameters on a bound,none,"A fit on a bound is a constrained optimum, not a maximum"
,,
=== Caveats ===,,
