nuS,nuL,nuB,nuD,TA,TB,TD,m_ls,m_sl,m2_ds,m2_sd,theta
1.000,0.983,0.159,0.948,0.978,-0.023,0.791,-0.974,-0.963,0.119,-0.093,-0.990
0.983,1.000,0.168,0.954,0.975,-0.008,0.828,-0.954,-0.971,0.135,-0.121,-0.991
0.159,0.168,1.000,0.181,0.247,-0.488,0.088,-0.065,-0.194,-0.455,-0.046,-0.200
0.948,0.954,0.181,1.000,0.953,-0.033,0.911,-0.919,-0.904,0.101,-0.169,-0.953
0.978,0.975,0.247,0.953,1.000,-0.059,0.772,-0.935,-0.944,0.091,-0.190,-0.992
-0.023,-0.008,-0.488,-0.033,-0.059,1.000,0.008,-0.041,0.061,0.987,-0.141,0.034
0.791,0.828,0.088,0.911,0.772,0.008,1.000,-0.772,-0.746,0.109,-0.130,-0.791
-0.974,-0.954,-0.065,-0.919,-0.935,-0.041,-0.772,1.000,0.930,-0.172,0.074,0.956
-0.963,-0.971,-0.194,-0.904,-0.944,0.061,-0.746,0.930,1.000,-0.076,-0.008,0.969
0.119,0.135,-0.455,0.101,0.091,0.987,0.109,-0.172,-0.076,1.000,-0.193,-0.114
-0.093,-0.121,-0.046,-0.169,-0.190,-0.141,-0.130,0.074,-0.008,-0.193,1.000,0.145
-0.990,-0.991,-0.200,-0.953,-0.992,0.034,-0.791,0.956,0.969,-0.114,0.145,1.000
