nuS,nuL,nuB,nuD,nuBcurr,nuDcurr,TA,TB,TD,m_ls,m_sl,m2_ds,m2_sd,theta
1.000,0.553,-0.770,-0.830,0.163,-0.684,-0.818,-0.980,-0.751,0.628,0.840,0.983,-0.276,0.750
0.553,1.000,-0.267,-0.416,0.005,-0.049,-0.352,-0.578,-0.150,0.217,0.355,0.524,-0.255,0.231
-0.770,-0.267,1.000,0.976,-0.518,0.961,0.988,0.736,0.902,-0.952,-0.983,-0.789,0.307,-0.996
-0.830,-0.416,0.976,1.000,-0.489,0.909,0.983,0.805,0.901,-0.924,-0.986,-0.836,0.335,-0.972
0.163,0.005,-0.518,-0.489,1.000,-0.535,-0.441,-0.204,-0.535,0.650,0.435,0.118,-0.145,0.512
-0.684,-0.049,0.961,0.909,-0.535,1.000,0.930,0.644,0.936,-0.937,-0.927,-0.703,0.237,-0.966
-0.818,-0.352,0.988,0.983,-0.441,0.930,1.000,0.785,0.866,-0.909,-0.994,-0.838,0.294,-0.987
-0.980,-0.578,0.736,0.805,-0.204,0.644,0.785,1.000,0.721,-0.604,-0.803,-0.931,0.234,-0.715
-0.751,-0.150,0.902,0.901,-0.535,0.936,0.866,0.721,1.000,-0.902,-0.887,-0.742,0.299,-0.897
0.628,0.217,-0.952,-0.924,0.650,-0.937,-0.909,-0.604,-0.902,1.000,0.901,0.640,-0.296,0.945
0.840,0.355,-0.983,-0.986,0.435,-0.927,-0.994,-0.803,-0.887,0.901,1.000,0.858,-0.342,0.981
0.983,0.524,-0.789,-0.836,0.118,-0.703,-0.838,-0.931,-0.742,0.640,0.858,1.000,-0.304,0.772
-0.276,-0.255,0.307,0.335,-0.145,0.237,0.294,0.234,0.299,-0.296,-0.342,-0.304,1.000,-0.279
0.750,0.231,-0.996,-0.972,0.512,-0.966,-0.987,-0.715,-0.897,0.945,0.981,0.772,-0.279,1.000
