Parameter,Value,Description
,,
=== growth: Constants ===,,
mu,8.600e-09,Mutation rate per bp per generation
Generation time,3,Years per generation
L,22488648,Callable sites
theta,9784.88,Population mutation rate (4*Nref*mu*L)
,,
=== Scaled Parameters (Coalescent Units) ===,,
nuS,49.9665,Silvestris branch immediately after the split
nuL,0.9262,Lybica branch immediately after the split
nuB,0.1472,"Wildcat at TB, reached exponentially from nuS"
nuD,4.8539,"Domestic at TD, reached exponentially from nuL"
nuBcurr,0.3306,Present-day wildcat size
nuDcurr,1.6952,Present-day domestic size
TA,6.0816,Split of silvestris and lybica (before present)
TB,0.0112,Wildcat size change / landbridge (before present)
TD,0.5723,Domestic size change / domestication (before present)
m_ls,0.2775,Early gene flow into silvestris from lybica (2*Nref*m)
m_sl,0.1913,Early gene flow into lybica from silvestris (2*Nref*m)
m2_ds,14.2695,Recent gene flow into wildcat from domestic (2*Nref*m)
m2_sd,3.6523,Recent gene flow into domestic from wildcat (2*Nref*m)
,,
=== Real-World Parameters ===,,
Nref,12648,Ancestral effective population size
N_nuS,631994,Silvestris branch immediately after the split in individuals
N_nuL,11714,Lybica branch immediately after the split in individuals
N_nuB,1862,"Wildcat at TB, reached exponentially from nuS in individuals"
N_nuD,61393,"Domestic at TD, reached exponentially from nuL in individuals"
N_nuBcurr,4181,Present-day wildcat size in individuals
N_nuDcurr,21441,Present-day domestic size in individuals
TA_generations,153845,"Split of silvestris and lybica (before present), in generations"
TA_years,461534,"Split of silvestris and lybica (before present), in years"
TB_generations,284,"Wildcat size change / landbridge (before present), in generations"
TB_years,851,"Wildcat size change / landbridge (before present), in years"
TD_generations,14478,"Domestic size change / domestication (before present), in generations"
TD_years,43434,"Domestic size change / domestication (before present), in years"
T_divergence_generations,153845,Total divergence time in generations (TA)
T_divergence_years,461534,Total divergence time in years (TA)
m_ls_per_gen,1.096952e-05,"Early gene flow into silvestris from lybica (2*Nref*m), per generation"
m_sl_per_gen,7.560451e-06,"Early gene flow into lybica from silvestris (2*Nref*m), per generation"
m2_ds_per_gen,5.640867e-04,"Recent gene flow into wildcat from domestic (2*Nref*m), per generation"
m2_sd_per_gen,1.443803e-04,"Recent gene flow into domestic from wildcat (2*Nref*m), per generation"
migrants_m_ls,6.933,Individuals per generation entering the receiving population (nuS * m_ls / 2)
migrants_m_sl,0.089,Individuals per generation entering the receiving population (nuL * m_sl / 2)
migrants_m2_ds,2.359,Individuals per generation entering the receiving population (nuBcurr * m2_ds / 2)
migrants_m2_sd,3.096,Individuals per generation entering the receiving population (nuDcurr * m2_sd / 2)
,,
=== Model Fit Statistics ===,,
Log-likelihood,-1376.22,Higher is better
Parameters (k),13,"Free parameters, excluding theta"
AIC,2780.44,"Lower is better - UNADJUSTED, not comparable across models"
Effective parameters,310.62,tr(J.H^-1); exceeds k+1 by however much linkage has inflated the composite likelihood
CLAIC,3373.67,-2*ll + 2*tr(J.H^-1). Lower is better. THIS is the comparable one
dCLAIC,0.00,CLAIC above the best model
Akaike weight,1.000,
Bootstraps,100,Block bootstrap replicates behind J
eps,0.01,Finite-difference step size used for the values above
"Stability check, eps = 0.01","eff. k 310.62, CLAIC 3373.67","H condition number 8.2e+14, smallest eigenvalue +6.06e-07. A large move in eff. k between step sizes means the finite differences are not converged; a negative eigenvalue means the fit is not at an interior maximum and the value is meaningless."
"Stability check, eps = 0.005","eff. k 308.11, CLAIC 3368.66","H condition number 5.8e+14, smallest eigenvalue +8.65e-07. A large move in eff. k between step sizes means the finite differences are not converged; a negative eigenvalue means the fit is not at an interior maximum and the value is meaningless."
,,
=== Convergence ===,,
Top-10 spread,0.903,Log-likelihood gap between best and 10th-best restart
Converged?,MARGINAL,"Below ~0.5 the top restarts agree. 0.5-1.0 is MARGINAL: the gap may be a flat ridge or two modes of similar fit, and Godambe needs a single well-defined optimum. Above ~1 the optimiser has NOT converged. Check the per-parameter spread from the 'best' stage before trusting a marginal verdict."
Restarts succeeded,50,Restarts returning a fit
Restarts attempted,50,"Restarts run. Counts only the pickles currently in results_wild/ -- if earlier staged rounds were moved aside, the full search was larger than this."
