Parameter,Value,Description
,,
=== sec_contact: Constants ===,,
mu,8.600e-09,Mutation rate per bp per generation
Generation time,3,Years per generation
L,22488648,Callable sites
theta,37301.73,Population mutation rate (4*Nref*mu*L)
,,
=== Scaled Parameters (Coalescent Units) ===,,
nu1,0.0603,Relative size of Scottish wild-caught population
nu2,0.6408,Relative size of domestic population
m12,50.0000,Migration domestic->Scottish wild (2*Nref*m)
m21,22.1165,Migration Scottish wild->domestic (2*Nref*m)
T1,0.1603,Duration of isolation (2*Nref generations)
T2,0.0033,Duration of secondary contact (2*Nref generations)
,,
=== Real-World Parameters ===,,
Nref,48218,Ancestral effective population size
N_nu1,2907,Relative size of Scottish wild-caught population in individuals
N_nu2,30896,Relative size of domestic population in individuals
T1_generations,15463,"Duration of isolation (2*Nref generations), in generations"
T1_years,46389,"Duration of isolation (2*Nref generations), in years"
T2_generations,323,"Duration of secondary contact (2*Nref generations), in generations"
T2_years,969,"Duration of secondary contact (2*Nref generations), in years"
T_divergence_generations,15786,Total divergence time in generations (T1 + T2)
T_divergence_years,47357,Total divergence time in years (T1 + T2)
m12_per_gen,5.184810e-04,"Migration domestic->Scottish wild (2*Nref*m), per generation"
m21_per_gen,2.293394e-04,"Migration Scottish wild->domestic (2*Nref*m), per generation"
migrants_m12,1.507,Individuals per generation entering the receiving population (nu1 * m12 / 2)
migrants_m21,7.086,Individuals per generation entering the receiving population (nu2 * m21 / 2)
,,
=== Model Fit Statistics ===,,
Log-likelihood,-1768.69,Higher is better
Parameters (k),6,"Free parameters, excluding theta"
AIC,3551.37,"Lower is better - UNADJUSTED, not comparable across models"
Effective parameters,338.33,tr(J.H^-1); exceeds k+1 by however much linkage has inflated the composite likelihood
CLAIC,4214.04,-2*ll + 2*tr(J.H^-1). Lower is better. THIS is the comparable one
dCLAIC,840.37,CLAIC above the best model
Akaike weight,0.000,
Bootstraps,100,Block bootstrap replicates behind J
eps,0.01,Finite-difference step size used for the values above
"Stability check, eps = 0.01","eff. k 338.33, CLAIC 4214.04","H condition number 1.7e+14, smallest eigenvalue +3.73e-05. A large move in eff. k between step sizes means the finite differences are not converged; a negative eigenvalue means the fit is not at an interior maximum and the value is meaningless."
"Stability check, eps = 0.005","eff. k 317.18, CLAIC 4171.73","H condition number 1.7e+14, smallest eigenvalue +3.83e-05. A large move in eff. k between step sizes means the finite differences are not converged; a negative eigenvalue means the fit is not at an interior maximum and the value is meaningless."
,,
=== 95% Confidence Intervals ===,,
nu1_CI,0.04737 to 0.07673,"Godambe, log scale by the delta method"
nu2_CI,0.5735 to 0.7159,"Godambe, log scale by the delta method"
m12_CI,31.75 to 78.75,"Godambe, log scale by the delta method. CROSSES A BOUND: the quadratic approximation assumes an interior optimum, so this interval is too narrow -- do not interpret the limit that crosses"
m21_CI,15.77 to 31.02,"Godambe, log scale by the delta method"
T1_CI,0.1193 to 0.2155,"Godambe, log scale by the delta method"
T2_CI,0.002071 to 0.005412,"Godambe, log scale by the delta method"
theta_CI,3.538e+04 to 3.933e+04,"Godambe, log scale by the delta method"
,,
=== Convergence ===,,
Top-10 spread,0.000,Log-likelihood gap between best and 10th-best restart
Converged?,yes,Above ~1 unit the optimiser has NOT converged
Restarts succeeded,50,Restarts returning a fit
Restarts attempted,50,Restarts run
Parameters on a bound,m12,"A fit on a bound is a constrained optimum, not a maximum"
,,
=== Caveats ===,,
Why CLAIC and not AIC,,"dadi maximises a composite likelihood (it treats linked sites as independent), so it overstates the information in the data and AIC's 2k penalty is too small. CLAIC replaces k with tr(J.H^-1), estimated from block bootstraps. Compare models on CLAIC only."
CLAIC precision,,"The trace carries sampling noise of roughly 10-15%, so CLAIC differences of a few units are not meaningful. Read only large gaps."
Reading the intervals,,"These are Godambe, not Fisher: G = H.J^-1.H, so the covariance is H^-1.J.H^-1, which widens the naive interval by however much linkage has inflated the composite likelihood. They are computed on the log scale, so they are multiplicative and asymmetric about the estimate. 'not defined' means a negative sandwich variance, i.e. a flat direction in H -- that is a statement about identifiability, not a failed calculation."
Rates vs individuals,,"Migrant individuals per generation is nu*M/2, which scales with the RECEIVING population, not Nref. A large rate asymmetry can come purely from a size difference, so read both numbers together."
Time parameterisation,,"sec_contact's T1 and T2 are epoch DURATIONS; Dennis's TA, TB and TD are absolute times BEFORE PRESENT. Total divergence here is T1 + T2."
Grid stability,,"High migration strains dadi's diffusion grid. Where a rate exceeds ~10, re-evaluate at larger grid sizes and confirm the likelihood does not move."
Population order,,"pop1 = SCO_WILD, pop2 = DOM. m12 is migration INTO pop1 FROM pop2. Column-to-population assignment was verified empirically by PCA."
