Parameter,Value,Description
,,
=== sec_contact: Constants ===,,
mu,8.600e-09,Mutation rate per bp per generation
Generation time,3,Years per generation
L,22488648,Callable sites
theta,37301.73,Population mutation rate (4*Nref*mu*L)
,,
=== Scaled Parameters (Coalescent Units) ===,,
nu1,0.0603,Relative size of Scottish wild-caught population
nu2,0.6408,Relative size of domestic population
m12,50.0000,Migration domestic->Scottish wild (2*Nref*m)
m21,22.1165,Migration Scottish wild->domestic (2*Nref*m)
T1,0.1603,Duration of isolation (2*Nref generations)
T2,0.0033,Duration of secondary contact (2*Nref generations)
,,
=== Real-World Parameters ===,,
Nref,48218,Ancestral effective population size
N_nu1,2907,Relative size of Scottish wild-caught population in individuals
N_nu2,30896,Relative size of domestic population in individuals
T1_generations,15463,"Duration of isolation (2*Nref generations), in generations"
T1_years,46389,"Duration of isolation (2*Nref generations), in years"
T2_generations,323,"Duration of secondary contact (2*Nref generations), in generations"
T2_years,969,"Duration of secondary contact (2*Nref generations), in years"
T_divergence_generations,15786,Total divergence time in generations (T1 + T2)
T_divergence_years,47357,Total divergence time in years (T1 + T2)
m12_per_gen,5.184810e-04,"Migration domestic->Scottish wild (2*Nref*m), per generation"
m21_per_gen,2.293394e-04,"Migration Scottish wild->domestic (2*Nref*m), per generation"
migrants_m12,1.507,Individuals per generation entering the receiving population (nu1 * m12 / 2)
migrants_m21,7.086,Individuals per generation entering the receiving population (nu2 * m21 / 2)
,,
=== Model Fit Statistics ===,,
Log-likelihood,-1768.69,Higher is better
Parameters (k),6,"Free parameters, excluding theta"
AIC,3551.37,"Lower is better - UNADJUSTED, not comparable across models"
Effective parameters,338.33,tr(J.H^-1); exceeds k+1 by however much linkage has inflated the composite likelihood
CLAIC,4214.04,-2*ll + 2*tr(J.H^-1). Lower is better. THIS is the comparable one
dCLAIC,0.00,CLAIC above the best model
Akaike weight,1.000,
Bootstraps,100,Block bootstrap replicates behind J
eps,0.01,Finite-difference step size used for the values above
"Stability check, eps = 0.01","eff. k 338.33, CLAIC 4214.04","H condition number 1.7e+14, smallest eigenvalue +3.73e-05. A large move in eff. k between step sizes means the finite differences are not converged; a negative eigenvalue means the fit is not at an interior maximum and the value is meaningless."
"Stability check, eps = 0.005","eff. k 317.18, CLAIC 4171.73","H condition number 1.7e+14, smallest eigenvalue +3.83e-05. A large move in eff. k between step sizes means the finite differences are not converged; a negative eigenvalue means the fit is not at an interior maximum and the value is meaningless."
,,
=== Convergence ===,,
Top-10 spread,0.000,Log-likelihood gap between best and 10th-best restart
Converged?,yes,"Below ~0.5 the top restarts agree. 0.5-1.0 is MARGINAL: the gap may be a flat ridge or two modes of similar fit, and Godambe needs a single well-defined optimum. Above ~1 the optimiser has NOT converged. Check the per-parameter spread from the 'best' stage before trusting a marginal verdict."
Restarts succeeded,50,Restarts returning a fit
Restarts attempted,50,"Restarts run. Counts only the pickles currently in results_wild/ -- if earlier staged rounds were moved aside, the full search was larger than this."
Parameters on a bound,m12,"A fit on a bound is a constrained optimum, not a maximum"
Parameters near a bound,none,"Within 10% of a bound but not on it. Not a constrained optimum, so the Hessian is still valid, but the optimiser had little room and the estimate may be tracking the bound rather than the data. Widen the bound and re-fit before reporting these."
Migration above grid threshold,"m12 = 50.00, m21 = 22.12","Rates above 10 strain dadi's diffusion grid, so the Richardson extrapolation across pts_l may not have converged. Re-evaluate the likelihood at this optimum with larger pts_l; if it moves by more than a unit or two, the estimate is partly numerical and should not be reported as a biological quantity."
,,
=== Caveats ===,,
Why CLAIC and not AIC,,"dadi maximises a composite likelihood (it treats linked sites as independent), so it overstates the information in the data and AIC's 2k penalty is too small. CLAIC replaces k with tr(J.H^-1), estimated from block bootstraps. Compare models on CLAIC only."
CLAIC precision,,"The trace carries sampling noise of roughly 10-15%, so CLAIC differences of a few units are not meaningful. Read only large gaps."
Rates vs individuals,,"Migrant individuals per generation is nu*M/2, which scales with the RECEIVING population, not Nref. A large rate asymmetry can come purely from a size difference, so read both numbers together."
Time parameterisation,,"sec_contact's T1 and T2 are epoch DURATIONS; Dennis's TA, TB and TD are absolute times BEFORE PRESENT. Total divergence here is T1 + T2."
Grid stability,,"High migration strains dadi's diffusion grid. Where a rate exceeds 10, re-evaluate at larger grid sizes and confirm the likelihood does not move -- see 'Migration above grid threshold' above for whether this fit trips it."
Population order,,"pop1 = SCO_WILD, pop2 = DOM. m12 is migration INTO pop1 FROM pop2. Column-to-population assignment was verified empirically by PCA. Note that Dennis's models name the SOURCE first instead (m2_ds is domestic -> silvestris), so the two conventions are opposite."
